
2024/05/04 (23:38:44) | ===> btop++ v.1.3.2
2024/05/04 (23:38:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (23:38:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (23:39:03) | ===> btop++ v.1.3.2
2024/05/04 (23:39:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (23:39:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (23:39:17) | ===> btop++ v.1.3.2
2024/05/04 (23:39:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (23:39:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (23:39:42) | ===> btop++ v.1.3.2
2024/05/04 (23:39:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (23:39:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (23:47:45) | ===> btop++ v.1.3.2
2024/05/04 (23:47:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (23:47:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (00:47:31) | ===> btop++ v.1.3.2
2024/05/05 (00:47:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (00:47:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (00:48:27) | ===> btop++ v.1.3.2
2024/05/05 (00:48:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (00:48:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (00:49:32) | ===> btop++ v.1.3.2
2024/05/05 (00:49:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (00:49:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (00:59:09) | ===> btop++ v.1.3.2
2024/05/05 (00:59:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (00:59:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (01:07:14) | ===> btop++ v.1.3.2
2024/05/05 (01:07:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (01:07:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (01:33:12) | ===> btop++ v.1.3.2
2024/05/05 (01:33:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (01:33:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (01:33:16) | ===> btop++ v.1.3.2
2024/05/05 (01:33:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (01:33:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (01:37:49) | ===> btop++ v.1.3.2
2024/05/05 (01:37:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (01:37:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:21:12) | ===> btop++ v.1.3.2
2024/05/05 (03:21:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:21:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:21:23) | ===> btop++ v.1.3.2
2024/05/05 (03:21:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:21:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:22:57) | ===> btop++ v.1.3.2
2024/05/05 (03:22:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:22:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:23:18) | ===> btop++ v.1.3.2
2024/05/05 (03:23:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:23:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:27:30) | ===> btop++ v.1.3.2
2024/05/05 (03:27:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:27:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:28:11) | ===> btop++ v.1.3.2
2024/05/05 (03:28:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:28:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:30:26) | ===> btop++ v.1.3.2
2024/05/05 (03:30:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:30:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:31:07) | ===> btop++ v.1.3.2
2024/05/05 (03:31:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:31:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:36:30) | ===> btop++ v.1.3.2
2024/05/05 (03:36:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:36:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:39:15) | ===> btop++ v.1.3.2
2024/05/05 (03:39:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:39:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:40:28) | ===> btop++ v.1.3.2
2024/05/05 (03:40:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:40:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:43:22) | ===> btop++ v.1.3.2
2024/05/05 (03:43:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:43:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (03:43:28) | ===> btop++ v.1.3.2
2024/05/05 (03:43:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (03:43:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (04:58:01) | ===> btop++ v.1.3.2
2024/05/05 (04:58:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (04:58:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (04:58:17) | ===> btop++ v.1.3.2
2024/05/05 (04:58:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (04:58:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (04:59:22) | ===> btop++ v.1.3.2
2024/05/05 (04:59:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (04:59:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (05:05:22) | ===> btop++ v.1.3.2
2024/05/05 (05:05:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (05:05:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (05:06:19) | ===> btop++ v.1.3.2
2024/05/05 (05:06:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (05:06:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (16:45:28) | ===> btop++ v.1.3.2
2024/05/05 (16:45:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (16:45:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (16:46:39) | ===> btop++ v.1.3.2
2024/05/05 (16:46:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (16:46:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (16:49:29) | ===> btop++ v.1.3.2
2024/05/05 (16:49:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (16:49:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (17:38:20) | ===> btop++ v.1.3.2
2024/05/05 (17:38:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (17:38:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (19:07:21) | ===> btop++ v.1.3.2
2024/05/05 (19:07:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (19:07:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:05:47) | ===> btop++ v.1.3.2
2024/05/05 (22:05:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:05:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:33:14) | ===> btop++ v.1.3.2
2024/05/05 (22:33:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:33:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:35:32) | ===> btop++ v.1.3.2
2024/05/05 (22:35:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:35:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:35:51) | ===> btop++ v.1.3.2
2024/05/05 (22:35:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:35:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:37:41) | ===> btop++ v.1.3.2
2024/05/05 (22:37:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:37:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:37:49) | ===> btop++ v.1.3.2
2024/05/05 (22:37:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:37:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (22:39:51) | ===> btop++ v.1.3.2
2024/05/05 (22:39:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/05 (22:39:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (01:04:39) | ===> btop++ v.1.3.2
